id,x,y,label
0,65.00,32.60,0
1,73.35,35.67,0
2,65.17,43.08,0
3,71.73,38.38,0
4,68.63,37.88,0
5,70.66,36.18,0
6,66.07,40.75,0
7,73.83,35.92,0
8,65.71,41.61,0
9,66.20,36.98,0
10,65.48,39.94,0
11,71.24,40.66,0
12,72.42,43.88,0
13,69.88,37.81,0
14,73.56,32.67,0
15,67.63,36.18,0
16,70.24,38.88,0
17,69.33,39.96,0
18,70.68,37.93,0
19,70.02,38.52,0
20,69.54,38.62,0
21,68.66,39.15,0
22,67.90,38.92,0
23,70.64,40.14,0
24,69.43,43.12,0
25,69.14,40.30,0
26,68.67,36.33,0
27,65.34,36.32,0
28,66.03,41.97,0
29,64.98,38.79,0
30,68.17,38.19,0
31,69.44,40.06,0
32,67.79,34.48,0
33,65.03,40.45,0
34,69.19,42.54,0
35,41.37,68.30,1
36,42.45,64.08,1
37,35.51,64.88,1
38,38.90,71.23,1
39,40.96,67.55,1
40,38.07,67.23,1
41,38.92,66.77,1
42,36.12,66.82,1
43,41.35,73.92,1
44,42.57,67.27,1
45,40.69,67.44,1
46,38.10,70.73,1
47,40.06,72.13,1
48,37.34,73.59,1
49,44.64,65.16,1
50,36.27,69.56,1
51,38.90,73.24,1
52,32.68,74.26,1
53,39.25,68.15,1
54,36.06,68.58,1
55,40.99,71.58,1
56,38.30,67.34,1
57,41.39,70.28,1
58,39.91,72.83,1
59,35.95,64.06,1
60,37.24,70.51,1
61,40.97,68.87,1
62,39.32,72.01,1
63,41.67,70.63,1
64,39.64,62.92,1
65,36.38,67.42,1
66,43.80,74.24,1
67,39.92,65.25,1
68,44.63,64.47,1
69,35.08,72.95,1
70,39.70,70.42,1
71,40.56,70.67,1
72,35.43,64.52,1
73,39.27,70.68,1
74,34.38,70.43,1
75,41.67,69.45,1
76,40.75,65.18,1
77,43.22,69.85,1
78,43.12,65.43,1
79,43.27,66.36,1
80,36.88,72.87,1
81,33.93,70.02,1
82,38.42,65.20,1
83,38.06,66.08,1
84,43.18,62.82,1
85,39.42,74.00,1
86,40.48,67.43,1
87,39.51,62.31,1
88,36.84,73.11,1
89,40.05,69.76,1
90,44.25,63.55,1
91,38.55,67.21,1
92,36.86,67.25,1
93,39.90,70.05,1
94,38.21,67.75,1
95,35.28,66.17,1
96,39.38,67.58,1
97,34.67,73.17,1
98,39.68,67.87,1
99,34.48,64.41,1
100,38.49,70.43,1
101,42.33,74.14,1
102,44.66,65.55,1
103,35.61,65.53,1
104,42.08,62.73,1
105,33.80,65.42,1
106,38.40,68.13,1
107,41.16,66.91,1
108,40.42,71.03,1
109,44.23,68.91,1
110,40.32,72.54,1
111,34.48,69.03,1
112,37.72,63.77,1
113,46.94,75.61,1
114,36.60,68.40,1
115,38.74,63.22,1
116,41.70,72.44,1
117,44.92,71.68,1
118,40.70,68.82,1
119,36.01,72.21,1
120,44.52,67.86,1
121,41.74,64.53,1
122,39.97,68.57,1
123,39.68,66.42,1
124,39.05,67.06,1
125,39.10,72.37,1
126,40.25,66.63,1
127,47.59,65.41,1
128,40.21,74.32,1
