id,x,y,label
0,83.82,44.74,0
1,88.06,48.07,0
2,89.26,46.88,0
3,85.79,46.38,0
4,82.33,45.87,0
5,22.71,12.46,2
6,85.91,49.19,0
7,23.80,10.93,2
8,88.63,49.64,0
9,88.01,46.58,0
10,82.42,45.93,0
11,26.78,9.93,2
12,28.79,10.09,2
13,23.52,13.27,2
14,88.74,45.50,0
15,85.35,45.03,0
16,89.18,48.90,0
17,83.84,45.81,0
18,86.30,44.63,0
19,84.85,47.72,0
20,84.76,48.20,0
21,26.48,10.48,2
22,24.62,79.77,1
23,27.52,12.71,2
24,86.36,45.66,0
25,86.99,45.13,0
26,89.16,46.23,0
27,27.82,13.18,2
28,86.42,45.18,0
29,84.32,44.79,0
30,87.51,48.03,0
31,84.61,45.79,0
32,88.30,44.87,0
33,88.97,47.86,0
34,83.92,43.03,0
35,22.07,11.54,2
36,24.69,10.84,2
37,21.59,13.12,2
38,83.42,45.11,0
39,86.15,48.09,0
40,27.76,81.62,1
41,85.97,43.76,0
42,84.47,47.29,0
43,29.63,15.52,2
44,87.16,46.15,0
45,87.29,48.05,0
46,90.10,44.60,0
47,24.42,9.35,2
48,27.68,80.53,1
49,83.36,43.80,0
50,86.15,43.82,0
51,25.46,11.10,2
52,89.00,46.09,0
53,87.05,45.44,0
54,25.59,9.83,2
55,87.50,42.93,0
56,87.91,49.91,0
57,87.79,45.20,0
58,84.20,42.49,0
59,87.31,47.61,0
60,27.56,12.80,2
61,85.83,42.93,0
62,86.00,46.96,0
63,81.40,45.06,0
64,29.33,79.29,1
65,26.87,14.58,2
66,83.48,47.30,0
67,25.55,14.50,2
68,85.09,45.40,0
69,86.76,43.54,0
70,26.15,12.97,2
71,86.55,44.69,0
72,87.75,44.29,0
73,27.05,81.75,1
74,88.92,43.43,0
75,87.67,48.34,0
76,21.91,14.41,2
77,86.33,45.59,0
78,84.70,44.66,0
79,83.56,45.79,0
80,24.58,11.10,2
81,84.72,44.74,0
82,84.30,48.71,0
83,86.91,46.49,0
84,84.32,46.77,0
85,83.67,47.29,0
86,87.07,43.01,0
87,84.04,46.65,0
88,26.95,78.96,1
89,86.22,47.77,0
90,28.32,11.17,2
91,25.29,10.85,2
92,26.94,83.05,1
93,82.58,44.12,0
94,84.52,46.16,0
95,25.59,82.41,1
96,85.47,50.56,0
97,24.56,80.56,1
98,26.33,83.32,1
99,26.94,11.06,2
100,83.71,44.94,0
101,82.66,43.70,0
102,24.64,8.86,2
103,82.86,43.86,0
104,86.21,47.49,0
105,24.57,12.30,2
106,20.49,8.50,2
107,27.98,8.35,2
108,84.59,46.04,0
109,23.07,18.82,2
110,28.36,9.13,2
111,24.77,6.86,2
112,28.32,10.92,2
113,24.76,13.00,2
114,25.26,10.36,2
115,85.87,42.79,0
116,24.86,81.73,1
117,86.03,48.18,0
