id,x,y,label
0,71.42,13.62,4
1,67.39,102.21,1
2,27.36,20.48,3
3,65.11,26.32,4
4,95.04,57.30,0
5,68.60,95.80,1
6,64.33,11.77,4
7,60.03,95.04,1
8,67.22,88.89,1
9,74.87,19.66,4
10,100.28,50.61,0
11,23.90,87.40,2
12,98.55,68.48,0
13,68.92,16.20,4
14,65.79,94.82,1
15,27.04,35.18,3
16,68.30,22.19,4
17,72.51,98.21,1
18,62.32,18.13,4
19,82.21,99.71,1
20,63.05,17.80,4
21,108.12,51.82,0
22,74.19,99.89,1
23,75.60,88.72,1
24,76.43,23.83,4
25,30.56,27.19,3
26,101.54,48.28,0
27,78.38,102.97,1
28,22.99,33.52,3
29,27.13,38.18,3
30,72.34,102.69,1
31,81.99,101.07,1
32,75.18,96.36,1
33,71.55,17.52,4
34,29.92,29.95,3
35,17.43,31.65,3
36,70.82,18.96,4
37,31.35,49.19,3
38,94.89,42.70,0
39,76.31,98.58,1
40,32.09,84.63,2
41,27.35,87.61,2
42,69.48,20.95,4
43,17.33,34.17,3
44,17.46,25.32,3
45,22.92,38.82,3
46,20.23,33.59,3
47,72.47,108.95,1
48,70.10,17.80,4
49,67.60,23.42,4
50,75.82,102.19,1
51,24.58,44.78,3
52,25.53,24.17,3
53,74.83,101.11,1
54,74.62,10.99,4
55,27.48,80.46,2
56,100.78,65.35,0
57,75.69,29.52,4
58,17.70,37.57,3
59,62.54,93.52,1
60,62.16,96.05,1
61,40.42,80.14,2
62,58.26,106.14,1
63,64.69,19.21,4
64,32.05,33.66,3
65,68.99,95.14,1
66,67.79,17.18,4
67,61.36,14.59,4
68,23.84,35.79,3
69,21.96,30.55,3
70,69.07,28.02,4
71,68.40,92.29,1
72,93.79,62.63,0
73,76.27,84.75,1
74,66.11,20.34,4
75,19.23,41.38,3
76,73.74,12.31,4
77,37.36,24.84,3
78,28.07,36.20,3
79,75.04,94.46,1
80,67.76,95.03,1
81,63.67,19.54,4
82,68.45,91.65,1
83,75.76,90.17,1
84,19.35,36.59,3
85,38.20,40.37,3
86,68.69,96.28,1
87,75.68,32.00,4
88,23.19,28.83,3
89,102.26,67.90,0
90,72.78,94.95,1
91,67.67,12.34,4
92,24.84,39.85,3
