id,x,y,label
0,94.71,58.66,0
1,93.17,50.92,0
2,108.47,57.20,0
3,109.60,67.94,0
4,88.30,45.72,0
5,83.54,55.88,0
6,101.41,62.07,0
7,93.85,74.68,0
8,94.98,67.66,0
9,74.78,95.30,1
10,117.77,62.32,0
11,36.17,83.76,2
12,66.92,22.10,4
13,87.63,64.06,0
14,82.09,64.68,0
15,89.08,64.46,0
16,91.99,68.83,0
17,95.31,56.63,0
18,75.18,98.75,1
19,113.80,64.76,0
20,72.96,99.29,1
21,94.71,63.35,0
22,102.18,67.52,0
23,75.23,104.44,1
24,97.37,52.92,0
25,71.26,92.29,1
26,114.58,58.83,0
27,104.03,72.28,0
28,79.24,99.10,1
29,94.06,74.09,0
30,28.17,27.55,3
31,66.63,98.92,1
32,97.93,62.87,0
33,113.04,67.11,0
34,75.27,15.10,4
35,99.13,76.95,0
36,68.32,111.26,1
37,104.84,53.95,0
38,89.95,69.29,0
39,93.81,54.57,0
40,108.82,60.36,0
41,77.73,94.64,1
42,103.34,64.38,0
43,31.65,33.59,3
44,93.72,50.59,0
45,109.49,52.99,0
46,108.88,62.51,0
47,86.16,55.96,0
48,107.26,58.21,0
49,113.57,63.43,0
50,104.13,60.67,0
51,105.06,60.88,0
52,70.97,23.18,4
53,20.27,91.13,2
54,99.76,71.49,0
55,101.05,68.10,0
56,72.61,97.59,1
57,110.58,59.24,0
58,101.89,59.34,0
59,97.07,59.93,0
60,108.62,60.16,0
61,95.99,58.76,0
62,108.98,66.08,0
63,103.10,69.54,0
64,95.97,68.70,0
65,109.92,63.94,0
66,101.84,61.71,0
67,93.03,62.10,0
68,61.74,93.37,1
69,105.59,57.64,0
70,112.27,78.21,0
71,68.98,20.97,4
72,90.70,69.79,0
73,83.07,48.30,0
74,110.58,52.90,0
75,100.85,58.93,0
76,99.99,67.41,0
77,108.63,62.41,0
78,98.27,63.01,0
79,93.54,67.08,0
80,107.29,65.81,0
81,82.84,103.48,1
82,91.40,56.58,0
83,111.53,58.32,0
84,109.68,66.26,0
85,23.66,88.43,2
86,68.60,93.26,1
87,103.72,62.02,0
88,103.47,60.70,0
89,24.93,83.50,2
90,63.41,105.40,1
91,74.71,30.05,4
92,97.61,56.95,0
93,101.63,64.98,0
94,72.18,112.44,1
95,27.25,29.72,3
96,75.97,107.35,1
97,72.80,21.55,4
98,104.00,62.40,0
99,102.16,53.17,0
100,99.36,53.58,0
101,68.79,104.56,1
102,99.75,64.01,0
103,101.32,59.85,0
104,64.32,23.91,4
105,59.41,30.13,4
106,35.72,28.62,3
107,105.50,54.90,0
108,105.86,56.81,0
109,108.20,67.50,0
110,106.22,57.05,0
111,91.69,58.23,0
112,100.59,70.70,0
113,113.25,57.23,0
114,99.89,57.34,0
115,103.38,70.92,0
116,87.24,55.65,0
117,105.01,59.41,0
118,69.01,91.83,1
119,113.98,64.92,0
120,101.18,56.61,0
121,72.70,94.83,1
122,28.59,38.13,3
123,74.84,17.59,4
124,104.66,57.56,0
125,24.37,47.44,3
126,96.80,64.43,0
127,101.02,81.46,0
128,68.69,15.98,4
129,90.30,70.05,0
130,108.69,69.26,0
131,96.85,47.92,0
132,67.57,22.63,4
133,26.50,38.62,3
134,107.11,66.62,0
135,73.80,109.12,1
136,101.42,65.96,0
137,71.50,91.33,1
138,26.32,80.09,2
139,73.94,109.62,1
140,75.39,26.70,4
141,93.95,70.07,0
142,114.73,61.20,0
143,75.88,99.94,1
144,91.14,66.13,0
145,83.93,26.83,4
146,71.88,15.79,4
147,92.05,54.21,0
148,110.00,72.00,0
149,101.10,67.74,0
150,106.07,74.03,0
151,99.48,48.07,0
152,79.94,97.04,1
153,64.80,107.91,1
154,99.36,62.28,0
155,84.89,57.70,0
156,102.10,60.90,0
157,87.15,64.39,0
158,71.39,27.06,4
159,103.18,53.63,0
160,109.06,62.15,0
161,69.63,105.41,1
162,102.79,66.82,0
163,88.33,62.77,0
164,102.20,55.57,0
165,65.12,98.38,1
166,31.81,30.63,3
167,90.95,57.23,0
168,107.13,62.27,0
169,120.84,53.30,0
170,96.72,60.45,0
171,78.44,18.43,4
172,98.93,59.23,0
173,98.79,58.75,0
174,104.31,62.44,0
175,96.46,57.94,0
176,112.12,58.03,0
177,93.00,61.45,0
178,98.16,55.40,0
179,104.99,52.24,0
180,96.64,74.67,0
181,103.27,55.29,0
182,102.73,73.90,0
183,99.70,68.96,0
184,74.24,28.79,4
185,94.89,56.19,0
186,99.43,71.60,0
187,101.12,62.11,0
188,99.53,54.54,0
189,28.67,89.62,2
190,97.68,66.11,0
191,108.09,61.41,0
192,71.63,93.10,1
193,68.50,21.80,4
194,71.57,112.24,1
195,19.08,81.72,2
196,108.11,77.51,0
197,106.61,55.65,0
198,113.21,69.29,0
199,93.20,59.42,0
200,108.38,66.69,0
201,116.43,59.78,0
202,99.33,50.80,0
203,102.01,63.80,0
204,118.16,60.07,0
205,95.12,59.91,0
206,62.54,24.94,4
207,100.06,75.34,0
208,97.52,67.63,0
209,106.13,54.66,0
210,72.77,28.71,4
211,87.94,103.66,1
212,36.59,43.59,3
213,106.14,51.65,0
214,98.31,58.65,0
215,107.73,58.81,0
216,94.19,53.27,0
217,102.01,53.09,0
218,98.01,77.23,0
219,63.10,90.52,1
220,102.74,63.48,0
221,98.25,56.53,0
222,105.68,68.97,0
223,103.72,50.39,0
224,108.70,51.58,0
225,108.22,59.76,0
226,89.45,65.90,0
227,95.18,65.96,0
228,101.08,56.42,0
229,79.31,34.90,4
230,94.48,96.86,1
231,81.98,18.82,4
232,111.49,54.69,0
233,68.11,109.37,1
234,111.83,57.82,0
235,90.49,51.31,0
236,98.65,59.97,0
237,105.21,54.29,0
238,106.01,65.85,0
239,97.67,56.67,0
240,101.82,55.06,0
241,73.81,18.30,4
242,103.33,57.08,0
243,96.67,55.07,0
244,86.75,113.99,1
245,103.28,60.42,0
246,99.61,65.30,0
247,99.07,59.84,0
248,94.06,70.70,0
249,104.10,62.34,0
250,24.40,91.25,2
251,70.26,101.57,1
252,109.55,55.62,0
253,114.90,50.05,0
254,98.46,54.19,0
255,31.67,97.57,2
256,75.82,93.04,1
257,99.87,66.68,0
258,107.67,62.77,0
259,94.45,66.07,0
260,96.34,52.02,0
261,99.91,63.80,0
262,100.12,77.81,0
263,25.58,38.98,3
264,30.99,82.94,2
