id,x,y,label
0,62.35,90.23,1
1,91.17,49.40,0
2,18.18,75.09,2
3,85.73,48.26,0
4,92.63,47.92,0
5,20.75,70.05,2
6,90.16,52.77,0
7,17.76,28.13,3
8,91.15,48.26,0
9,88.02,47.79,0
10,20.02,76.07,2
11,65.90,86.51,1
12,60.66,88.64,1
13,18.16,70.49,2
14,60.64,15.15,4
15,16.96,24.08,3
16,60.08,85.05,1
17,17.39,67.36,2
18,17.09,66.42,2
19,62.02,86.11,1
20,83.56,51.72,0
21,20.06,71.12,2
22,13.14,24.02,3
23,18.51,73.09,2
24,87.58,48.35,0
25,12.66,26.20,3
26,58.21,92.54,1
27,15.53,27.78,3
28,19.33,69.62,2
29,65.03,86.06,1
30,89.33,49.82,0
31,60.01,92.02,1
32,64.41,7.90,4
33,84.58,51.77,0
34,87.26,47.64,0
35,92.84,45.99,0
36,14.03,75.49,2
37,88.60,50.95,0
38,62.63,80.65,1
39,91.17,50.57,0
40,65.48,86.67,1
41,54.98,89.33,1
42,91.17,47.98,0
43,61.45,88.92,1
44,18.47,28.06,3
45,13.82,76.89,2
46,67.72,87.20,1
47,10.79,70.02,2
48,16.18,24.95,3
49,85.73,49.15,0
50,86.38,46.15,0
51,88.79,49.44,0
52,21.88,77.56,2
53,63.83,91.21,1
54,84.27,44.56,0
55,85.38,49.99,0
56,87.24,49.00,0
57,85.93,49.53,0
58,86.83,46.48,0
59,93.30,48.92,0
60,15.18,68.83,2
61,17.62,69.97,2
62,96.38,48.80,0
63,88.03,50.78,0
64,89.01,46.19,0
65,95.59,50.58,0
66,87.75,49.01,0
67,12.71,75.39,2
68,91.95,44.93,0
69,86.78,50.46,0
70,60.86,88.00,1
71,11.80,74.47,2
72,93.59,47.38,0
73,17.25,22.27,3
74,87.65,47.77,0
75,85.66,48.70,0
76,64.00,87.20,1
77,55.81,89.28,1
78,60.65,80.79,1
79,85.29,49.42,0
80,91.25,45.27,0
81,61.05,83.42,1
82,56.71,10.95,4
83,15.23,24.51,3
84,81.70,48.99,0
85,88.20,47.44,0
86,13.81,26.17,3
87,86.98,49.60,0
88,86.38,52.43,0
89,69.44,11.35,4
90,17.48,23.99,3
91,82.87,50.22,0
92,89.10,50.54,0
93,14.72,75.29,2
94,94.55,49.69,0
95,20.78,69.43,2
96,56.65,88.57,1
97,65.93,84.97,1
98,91.01,53.09,0
99,89.92,50.01,0
100,64.13,90.33,1
101,17.94,27.50,3
102,87.00,50.07,0
103,93.36,48.36,0
104,91.76,51.18,0
105,16.64,22.08,3
106,82.10,45.06,0
107,85.95,51.48,0
108,86.51,51.91,0
109,64.47,89.66,1
110,17.04,74.48,2
111,18.69,21.46,3
112,88.17,51.23,0
113,85.98,53.73,0
114,89.01,49.19,0
115,11.17,72.56,2
116,88.70,46.55,0
117,91.69,51.47,0
118,89.30,44.31,0
119,91.92,51.17,0
120,91.79,49.28,0
