id,x,y,label
0,26.22,16.00,2
1,89.72,47.02,0
2,88.42,49.34,0
3,24.36,11.35,2
4,89.99,45.70,0
5,91.29,47.11,0
6,27.80,8.86,2
7,87.15,47.47,0
8,25.35,12.76,2
9,28.22,78.68,1
10,87.81,43.27,0
11,84.95,46.05,0
12,27.03,11.34,2
13,88.70,48.12,0
14,88.91,51.14,0
15,82.80,43.91,0
16,90.43,47.39,0
17,86.81,45.79,0
18,88.55,46.36,0
19,84.19,42.96,0
20,86.41,46.35,0
21,28.51,15.06,2
22,24.10,7.62,2
23,84.56,46.41,0
24,86.56,43.68,0
25,88.77,49.65,0
26,84.14,46.86,0
27,84.45,44.34,0
28,86.25,45.75,0
29,84.80,44.66,0
30,84.79,43.66,0
31,86.73,46.41,0
32,29.20,11.72,2
33,86.24,46.90,0
34,26.18,14.37,2
35,84.29,45.50,0
36,85.21,49.21,0
37,86.95,46.32,0
38,86.55,46.93,0
39,89.19,47.45,0
40,26.66,11.18,2
41,27.44,10.73,2
42,28.48,80.28,1
43,24.69,9.60,2
44,28.95,82.79,1
45,83.71,48.87,0
46,86.82,47.18,0
47,85.88,46.64,0
48,87.78,46.44,0
49,82.03,46.34,0
50,22.65,84.65,1
51,85.17,47.14,0
52,84.48,48.11,0
53,86.49,48.73,0
54,85.71,47.26,0
55,83.17,43.03,0
56,23.14,13.97,2
57,26.27,78.47,1
58,88.51,47.02,0
59,86.65,45.54,0
60,26.35,8.86,2
61,24.61,10.00,2
62,84.58,46.76,0
63,87.87,43.35,0
64,85.52,48.02,0
65,86.46,43.35,0
66,85.46,48.21,0
67,89.81,46.15,0
68,85.81,44.35,0
69,28.07,9.59,2
70,89.02,48.99,0
71,84.87,50.39,0
72,87.18,48.26,0
73,86.45,46.41,0
74,21.28,11.52,2
75,31.33,16.17,2
76,84.51,47.02,0
77,88.49,47.21,0
78,83.37,45.36,0
79,28.21,13.31,2
80,88.17,45.86,0
81,83.34,41.91,0
82,24.76,79.52,1
83,88.02,48.79,0
84,84.65,48.52,0
85,86.90,45.70,0
86,84.45,44.69,0
87,88.12,48.95,0
88,85.95,45.87,0
89,86.07,45.57,0
90,26.89,12.13,2
91,85.41,43.46,0
92,83.45,48.50,0
93,26.09,9.80,2
94,85.71,42.04,0
95,24.66,10.41,2
96,25.96,12.90,2
97,85.18,48.20,0
98,84.67,48.14,0
99,84.60,44.87,0
100,89.49,43.38,0
101,26.22,9.96,2
102,83.91,47.52,0
103,87.05,44.96,0
104,87.74,44.22,0
105,28.58,79.27,1
